gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,powerPerformance,testDate,category,price_per_watt
GeForce RTX 3090 Ti,29094,1117,2099.99,13.85,450.0,64.65,2022,Unknown,4.666644444444444
GeForce RTX 3080 Ti,26887,1031,1199.99,22.41,350.0,76.82,2021,Desktop,3.4285428571428573
GeForce RTX 3090,26395,999,1749.99,15.08,350.0,75.41,2020,Desktop,4.9999714285714285
Radeon RX 6900 XT,25458,1102,1120.31,22.72,300.0,84.86,2020,Desktop,3.7343666666666664
GeForce RTX 3080,24853,1003,999.0,24.88,320.0,77.66,2020,Desktop,3.121875
GeForce RTX 3070 Ti,23367,1003,749.99,31.16,290.0,80.58,2021,Desktop,2.5861724137931037
Radeon RX 6800 XT,23364,1078,859.0,27.2,300.0,77.88,2020,Desktop,2.8633333333333333
RTX A5000,22867,984,2631.2,8.69,230.0,99.42,2021,Workstation,11.44
RTX A6000,22122,832,4999.99,4.42,300.0,73.74,2021,Workstation,16.666633333333333
GeForce RTX 3070,22093,969,719.99,30.69,220.0,100.42,2020,Desktop,3.2726818181818182
GeForce RTX 2080 Ti,21796,940,998.59,21.83,250.0,87.18,2018,Desktop,3.99436
RTX A4500,21546,892,2134.64,10.09,200.0,107.73,2022,Unknown,10.6732
Radeon RX 6800,20667,1030,758.99,27.23,250.0,82.67,2020,Desktop,3.03596
GeForce RTX 3060 Ti,20206,961,599.99,33.68,200.0,101.03,2020,Desktop,2.99995
TITAN RTX,20169,844,2794.99,7.22,280.0,72.03,2018,Workstation,9.982107142857142
Quadro RTX 6000,19692,837,6300.0,3.13,295.0,66.75,2018,Workstation,21.35593220338983
GeForce RTX 2080 SUPER,19519,934,683.99,28.54,250.0,78.08,2019,Desktop,2.73596
Quadro RTX 8000,19126,801,4741.49,4.03,260.0,73.56,2019,Workstation,18.2365
Radeon RX 6700 XT,18993,1014,529.99,35.84,230.0,82.58,2021,Desktop,2.304304347826087
RTX A4000,18988,938,1233.98,15.39,140.0,135.63,2021,Workstation,8.814142857142857
TITAN V,18816,845,1999.99,9.41,250.0,75.26,2017,Desktop,7.99996
Radeon PRO W6800,18802,914,2194.99,8.57,250.0,75.208,2021,Unknown,8.779959999999999
GeForce RTX 2080,18732,917,633.03,29.59,250.0,74.93,2018,Desktop,2.53212
GeForce GTX 1080 Ti,18284,934,604.15,30.26,250.0,73.14,2017,Desktop,2.4166
NVIDIA TITAN Xp,18280,812,1645.0,11.11,250.0,73.12,2017,Desktop,6.58
GeForce RTX 2070 SUPER,18168,896,613.8,29.6,215.0,84.5,2019,Desktop,2.8548837209302325
Quadro GV100,17675,841,8999.0,1.96,250.0,70.7,2018,Workstation,35.996
GeForce RTX 3060,16958,951,329.0,51.55,170.0,99.76,2021,Desktop,1.9352941176470588
Radeon RX 5700 XT,16892,955,694.94,24.31,225.0,75.08,2019,Desktop,3.0886222222222224
Radeon VII,16767,788,1899.95,8.82,300.0,55.89,2019,Desktop,6.333166666666667
GeForce RTX 2060 SUPER,16514,881,528.89,31.22,175.0,94.37,2019,Desktop,3.0222285714285713
GeForce RTX 2070,16079,833,627.44,25.63,175.0,91.88,2018,Desktop,3.585371428571429
Radeon RX 6600 XT,15853,1003,399.99,39.63,160.0,99.08,2021,Desktop,2.4999375
Quadro P6000,15811,773,3250.0,4.87,250.0,63.25,2016,Workstation,13.0
Quadro RTX 4000,15515,904,899.0,17.26,160.0,96.97,2019,Workstation,5.61875
GeForce GTX 1080,15265,890,442.79,34.47,180.0,84.8,2016,Desktop,2.4599444444444445
Radeon Pro W5700,15085,908,1649.99,9.14,205.0,73.59,2020,Desktop,8.048731707317073
Radeon RX 5700,14729,926,899.95,16.37,180.0,81.83,2019,Desktop,4.999722222222222
Radeon RX Vega 64,14636,810,799.99,18.3,295.0,49.62,2017,Desktop,2.711830508474576
GeForce GTX 1070 Ti,14500,877,389.0,37.28,180.0,80.56,2017,Desktop,2.161111111111111
Radeon Pro WX 8200,14110,824,1599.39,8.82,230.0,61.35,2018,Desktop,6.953869565217392
GeForce RTX 2060,13953,752,389.99,35.78,160.0,87.2,2019,Desktop,2.4374375
GeForce GTX 980 Ti,13864,854,719.4,19.27,250.0,55.45,2015,Desktop,2.8775999999999997
Radeon RX 5600 XT,13836,914,545.0,25.39,150.0,92.24,2020,Desktop,3.6333333333333333
Radeon Vega Frontier Edition,13748,753,1679.99,8.18,350.0,39.28,2017,Desktop,4.799971428571428
